   PID    TID %CPU     TIME NLWP  C
 41991  41991  0.0 00:00:00 1072  0
 41991  41992  0.0 00:00:03 1072  0
 41991  41993  0.0 00:00:16 1072  0
 41991  41994  0.0 00:00:16 1072  0
 41991  41995  0.0 00:00:16 1072  0
 41991  41996  0.0 00:00:16 1072  0
 41991  41997  0.0 00:00:16 1072  0
 41991  41998  0.0 00:00:16 1072  0
 41991  41999  0.0 00:00:16 1072  0
 41991  42000  0.0 00:00:16 1072  0
 41991  42001  0.0 00:00:16 1072  0
 41991  42002  0.0 00:00:16 1072  0
 41991  42003  1.1 00:06:41 1072  1
 41991  42004  99.0 00:00:00 1072  0
 41991  42005  0.0 00:00:00 1072  0
 41991  42006  0.0 00:00:00 1072  0
 41991  42007  0.1 00:01:01 1072  0
 41991  42008  0.1 00:00:59 1072  0
 41991  42009  0.2 00:01:12 1072  0
 41991  42010  0.0 00:00:30 1072  0
 41991  42011  0.0 00:00:00 1072  0
 41991  42012  0.0 00:00:00 1072  0
 41991  42013  0.0 00:00:21 1072  0
 41991  42021  0.0 00:00:01 1072  0
 41991  42023  0.0 00:00:00 1072  0
 41991  42024  0.0 00:00:03 1072  0
 41991  42026  0.0 00:00:00 1072  0
 41991  42030  0.0 00:00:00 1072  0
 41991  42032  0.0 00:00:00 1072  0
 41991  42033  0.0 00:00:00 1072  0
 41991  42035  0.0 00:00:00 1072  0
 41991  42036  0.0 00:00:00 1072  0
 41991  42487  0.0 00:00:00 1072  0
 41991  42488  0.0 00:00:02 1072  0
 41991  42492  0.0 00:00:00 1072  0
 41991  42493  0.0 00:00:00 1072  0
 41991  42494  0.0 00:00:00 1072  0
 41991  42496  0.0 00:00:00 1072  0
 41991  42499  0.0 00:00:00 1072  0
 41991  42500  0.0 00:00:00 1072  0
 41991  42541  0.0 00:00:00 1072  0
 41991  42542  0.0 00:00:01 1072  0
 41991  42543  0.0 00:00:00 1072  0
 41991  42544  0.0 00:00:05 1072  0
 41991  42545  0.0 00:00:02 1072  0
 41991  42546  0.0 00:00:02 1072  0
 41991  42547  0.0 00:00:02 1072  0
 41991  42548  0.0 00:00:01 1072  0
 41991  42549  0.0 00:00:02 1072  0
 41991  42550  0.0 00:00:01 1072  0
 41991  42551  0.0 00:00:01 1072  0
 41991  42552  0.0 00:00:01 1072  0
 41991  42553  0.0 00:00:01 1072  0
 41991  42554  0.0 00:00:02 1072  0
 41991  42555  0.0 00:00:06 1072  0
 41991  42556  0.0 00:00:02 1072  0
 41991  42557  0.0 00:00:13 1072  0
 41991  42558  0.0 00:00:12 1072  0
 41991  42559  0.0 00:00:15 1072  0
 41991  42560  0.0 00:00:17 1072  0
 41991  42561  0.0 00:00:32 1072  0
 41991  42562  0.1 00:00:37 1072  0
 41991  42563  0.0 00:00:26 1072  0
 41991  42564  0.0 00:00:30 1072  0
 41991  42565  0.0 00:00:34 1072  0
 41991  42566  0.0 00:00:30 1072  0
 41991  42567  0.0 00:00:23 1072  0
 41991  42568  0.0 00:00:21 1072  0
 41991  42571  0.0 00:00:00 1072  0
 41991  42572  0.0 00:00:00 1072  0
 41991  42573  0.0 00:00:00 1072  0
 41991  42574  0.0 00:00:00 1072  0
 41991  42575  1.4 00:08:59 1072  1
 41991  42576  0.0 00:00:00 1072  0
 41991  42577  0.0 00:00:00 1072  0
 41991  42578  0.0 00:00:00 1072  0
 41991  42579  1.4 00:08:57 1072  1
 41991  42580  0.0 00:00:00 1072  0
 41991  42581  0.0 00:00:00 1072  0
 41991  42582  0.0 00:00:00 1072  0
 41991  42584  0.0 00:00:00 1072  0
 41991  42587  0.0 00:00:13 1072  0
 41991  42588  0.0 00:00:00 1072  0
 41991  42589  0.0 00:00:00 1072  0
 41991  42590  0.0 00:00:00 1072  0
 41991  42591  0.0 00:00:00 1072  0
 41991  42592  0.0 00:00:00 1072  0
